"Railway","Number of passengers originating (1) (in Million) - 2009-10","Number of passengers originating (1) (in Million) - 2010-11","Earnings from passengers carried (in Million) - 2009-10","Earnings from passengers carried (in Million) - 2010-11","Load of goods (3) carried (1) (in Million Tonnes) - 2009-10","Load of goods (3) carried (1) (in Million Tonnes) - 2010-11","Earnings from goods carried (in Million) - 2009-10","Earnings from goods carried (in Million) - 2010-11"
"Broad Gauge (1.676 m)(2)","7083","7480","231408","253710","890","924","568582","606276"
"Central","1556","1629","28196","30734","124","128","34936","36857"
"Eastern","1018","1113","11555","12450","106","116","18805","20905"
"East Central","242","200","11712","12642","153","164","35341","39090"
"East Coast","71","79","5282","6484","155","162","63116","80243"
"Northern","631","649","30400","35109","170","171","43643","45002"
"North Central","164","169","23212","25306","167","170","49890","52019"
"North Eastern","142","152","6515","6526","24","27","5768","7022"
"Northeast Frontier","36","63","4952","5529","24","28","10861","12275"
"North Western","123","134","7659","8389","51","58","19488","22963"
"Southern","688","731","21524","23164","70","62","18178","18695"
"South Central","299","348","21173","24069","148","150","58779","56390"
"South Eastern","226","246","7758","8316","200","206","61411","63797"
"South East Central","103","110","5123","5596","181","191","46734","50774"
"South Western","154","171","7298","8095","70","67","18401","17051"
"Western","1508","1559","23666","25250","115","120","44573","45962"
"West Central","121","127","14275","16051","129","123","38658","37231"
"Metre Gauge (1.000 m)(2)","143","150","2456","3114","3","3","533","594"
"East Central","7","6","202","258","NA","NA","12","17"
"North Central","NA","NA","NA","NA","NA","NA","NA","NA"
"North Eastern","86","88","1111","1887","1","1","106","54"
"Northeast Frontier","9","12","404","306","3","3","377","518"
"North Western","11","13","249","232","NA","NA","28","5"
"Southern","21","3","NA","13","NA","NA","3","NA"
"South Central","2","1","48","26","NA","NA","NA","NA"
"South Western","NA","NA","NA","NA","NA","NA","5","NA"
"Western","26","27","419","392","NA","NA","2","NA"
"Narrow Gauge (0.762 m and 0.610 m)(2)","20","21","281","232","NA","NA","NA","NA"
"Central","2","1","21","59","NA","NA","NA","NA"
"Eastern","1","NA","6","3","NA","NA","NA","NA"
"East Coast","NA","NA","NA","NA","NA","NA","NA","NA"
"Northern","4","4","52","54","NA","NA","NA","NA"
"North Central","NA","3","20","18","NA","NA","NA","NA"
"Northeast Frontier","NA","NA","74","33","NA","NA","NA","NA"
"South Eastern","NA","NA","NA","NA","NA","NA","NA","NA"
"South East Central","9","10","70","56","NA","NA","NA","NA"
